TypeData.CompTypeID,TypeData.GenCompType,long_description,failure_locations
Accumulator_1_V0,Accumulator - Hydraulic - Bladder Type,"The equipment Accumulator - Hydraulic - Bladder Type, is categorized as Fixed Asset and has the following boundary: A Hydraulic Accumulator - Bladder Type in this database is comprised of:  - Tank - Bladder - Oil Check Valve - Gas Precharge Valve","The failure locations for Accumulator - Hydraulic - Bladder Type are: {'Gas Fill Valve', 'Bladder', 'Oil Valve'}"
Accumulator_2_V0,Accumulator - Pneumatic - Bladder Type,"The equipment Accumulator - Pneumatic - Bladder Type, is categorized as Fixed Asset and has the following boundary: A Pneumatic Accumulator - Bladder Type in this database is comprised of:  - Tank - Bladder - Air Line Check Valve, if present - Gas Precharge Valve","The failure locations for Accumulator - Pneumatic - Bladder Type are: {'Gas Fill Valve', 'Air line Check Valve, if present', 'Bladder'}"
ACPack_1_V0,Packaged Air Conditioning Unit,"The equipment Packaged Air Conditioning Unit, is categorized as Facility Asset and has the following boundary: The Packaged Air Conditioning Unit for the purpose of this database is comprised of:  ,Fan and motor . Compressor and motor ,Condenser and heating coils ,All controls, sensors, transmitters, switches, and wiring ,Filter, if present ,Damper and actuator, if present  Excluded are: . Power supply","The failure locations for Packaged Air Conditioning Unit are: {'Condenser Coil', 'Switches', 'Wiring and connections', 'Air Filter', 'Compressor - Tubing, Fittings', 'Compressor', 'Damper Bearings and Linkages, if present', 'Fan - Motor', 'Fan', 'Fan Bearings', 'Solenoid Valves, if present', 'Electric Heating Coils', 'Damper Actuator, if present', 'Compressor - Motor', 'Controllers, Sensors, and Transmitters'}"
AirEjector_SJ_1,Steam Jet Air Ejector,"The equipment Steam Jet Air Ejector, is categorized as Fixed Asset and has the following boundary: The boundary of a typical steam jet air ejector boundary for the purpose of this database consists of:  -Ejector and internals from the suction to discharge ports -Steam inlet port and nozzle, including steam chest, if present -Ejector steam condensers, if present  All valves are excluded from the boundary.","The failure locations for Steam Jet Air Ejector are: {'Condenser - Tube Sheets', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Tubes', 'Condenser - Tube Joint: Rolled', 'Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Ejector - Throat and Diffuser', 'Ejector - Steam Nozzle', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange'}"
Ammonia_Vapor_1_V0,Ammonia Vaporization System,"The equipment Ammonia Vaporization System, is categorized as Fixed Asset and has the following boundary: The boundary of an Ammonia Vaporization System, for the purpose of this database, includes:  Ammonia vaporizer Ammonia vaporizer heater Piping Valves: relief and block Level indicators and transmitters Pressure sensors and transmitters Thermocouples Dilution air blower and motor (a more detailed treatment of relevant motors may be found elsewhere in the database under ""Motor - Low Voltage""  Excludes:  Ammonia Transfer Pump and motor Flow Control Valve - AOV actuators can be found elsewhere in the database under ""Valve - Air Operated - AOV"" Flange connections Supply system boundaries (electrical, steam, glycol, etc.) Controls Wiring to control system","The failure locations for Ammonia Vaporization System are: {'Blower', 'Pressure Sensor', 'Valve - Spring Reliefs', 'Valve - Manual  Block', 'Pressure Gauge', 'Piping', 'Level Indicator', 'Level Transmitter', 'Blower Sheaves and Belts, if present', 'Vaporizer vessel', 'Blower Motor', 'Blower Intake Filter', 'Electric Heating Element, if present', 'Heater tubes, if present', 'Heater Shell, if present', 'Thermocouple', 'Pressure Transmitter'}"
Autoclave_DoubleDoor_Sliding_V0,Autoclave - Sliding Double Door,"The equipment Autoclave - Sliding Double Door, is categorized as Facility Asset and has the following boundary: An Autoclave with double sliding doors for cleaning and sterilizing pharmaceutical or laboratory equipment is comprised of: - Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation) - Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.) - E-Stops and Interlocks - Fasteners and Hardware - Filter - Compressed Air - Flex Hoses, Flex Lines, and Fittings - Ground or Earth Connection - Heat Exchanger - Sample Cooler - Heat Exchanger (Plate Type) - Instrumentation - Gauges or Indicators (Temperature, Pressure) - Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, - Pressure, Temperature) - Flow Restrictors - Pipe - Instrument Penetrations, and Thermowells - Pipe and Fittings - Pipe Insulation - PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen) - Pump - Vacuum (Liquid Ring) and Motor - Pump (Vertical - Multistage) and Motor - Separator - Silencer(s) - Steam Trap (Balanced Pressure Thermostatic Type) - Strainer - Tank - Tri-Clamp Isolation Devices - Valve - Automatic Exhaust Relief (Diaphragm) - Valve - Ball (Manual) - Valve - Check (Swing Type) - Valve - Diaphragm (Air Operated) - Valve - Manual - Vent, Drain, and Isolation (Diaphragm type) - Valve - Piston Operated - Valve - SOV Operated - Valve - Temperature & Flow Control Valves (Air Operated)  Excluded from this component treatment are: - Supply: power, instrument  air, process air, cooling water, steam, and chemicals - External drains and connections - Supply Electrical Panel and Breakers (External to skid)","The failure locations for Autoclave - Sliding Double Door are: {'Strainer', 'Separator', 'Flex Hoses, Flex Lines, and Fittings', 'Heat Exchanger - Sample Cooler', 'Tri-Clamp Isolation Devices', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Silencer(s)', 'Tank', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'Valve - Check (Swing Type)', 'Valve - Pressure Control Valve (Diaphragm Manual)', 'Valve - Diaphragm (Air Operated)', 'E-Stops and Interlocks', 'Heat Exchanger (Plate Type)', 'Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Ground or Earth Connection', 'Pipe and Fittings', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Valve - Ball (Manual)', 'Valve - Piston Operated (Air)', 'Flow Restrictor', 'Valve - SOV Operated', 'Pump Motor (Pump Vertical - Multistage)', 'Valve - Ball (Air Operated)', 'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Pump - Vacuum (Liquid Ring)', 'Pipe Insulation', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)', 'Valve - Pressure Relief', 'Pipe - Instrument Penetrations, and Thermowells', 'Pump (Vertical - Multistage)', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Fasteners and Hardware'}"
Axle_1_V0,Axle_1,"The equipment Axle_1, is categorized as Material Handling Asset and has the following boundary: An Axle in this database comprises: - Axle - Shaft - Mounting Brackets, if present - Coupling Key, if present - Wheel flange - Fasteners  Excluded are: - Bearings or bushings - Brake Disc or Drum, if present - Brake assembly, if present - Drive train components, if present","The failure locations for Axle_1 are: {'Mounting brackets, if present', 'Shaft', 'Wheel Flange', 'Fasteners, bolting', 'Key, if present', 'Axle Housing'}"
BATT_CHGR_1,Battery - Charger,"The equipment Battery - Charger, is categorized as Electrical Asset and has the following boundary: The boundary of a typical battery charger for the purpose of this database is defined to include the following:  ,Battery Charger  Input breakers are excluded, because PM for these can be found by referring to Motor Control Centers.    Note, this program assumes that the battery charger is in nominally good condition to begin with.  Battery chargers that have not been serviced for a long time may need to have a detailed inspection performed before this program is applied.","The failure locations for Battery - Charger are: {'Capacitors, Oil Filled', 'Filter Choke', 'Capacitors, Electrolytic', 'Muffin fans', 'Power Semiconductor Components', 'Timer', 'Float and Equalize Potentiometers and Switches', 'Fuse holder', 'Printed Circuit Boards (Firing circuit, Alarm, Auxiliary circuits, Current limit)', 'Input Fuse', 'Transformer', 'Metering Instruments (e.g. voltmeter, ammeter, status lights, ground detectors)'}"
BATT_INV_1,Battery - Inverter,"The equipment Battery - Inverter, is categorized as Electrical Asset and has the following boundary: The boundary of a typical inverter for the purpose of this database is defined to include the following:  ,Inverter ,Maintenance bypass switch ,Static switch, if installed ,Excluding the distribution panel  Regulated rectifiers, if present, and breakers, are excluded because PM for these can be found by referring to Battery Charger and Motor Control Center.","The failure locations for Battery - Inverter are: {'Metering Instruments (e.g. voltmeter, frequency meter, status lights)', 'Capacitors, Commutation and Other Filled', 'Capacitors, Electrolytic', 'Maintenance Bypass Switch', 'Muffin fans', 'Power Semiconductor Components', 'Printed Circuit Boards (Firing circuit, Oscillator, Alarm, Sync, Metering circuits)', 'Fuse holder', 'Input Fuse', 'Transformer', 'Input / Output Filter Choke and Commutating Chokes', 'Static Switch'}"
BATT_LA_1,Battery - Flooded Lead Acid - Lead Calcium/Antimony,"The equipment Battery - Flooded Lead Acid - Lead Calcium/Antimony, is categorized as Electrical Asset and has the following boundary: The boundary of a typical flooded lead-acid battery for the purpose of this database is defined to include the following:  ,Battery cells ,Inter-tier and Inter-cell connectors ,Battery Rack","The failure locations for Battery - Flooded Lead Acid - Lead Calcium/Antimony are: {'Vent or Flame Arrestor', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Jar', 'Plates', 'Separators & Retainers', 'Posts and Straps', 'Jar and Lid', 'Electrolyte', 'Posts', 'Rack', 'Lid'}"
