,TypeData.GenCompType,failure_locations,long_description,generated_components,generation_time,throughput,failure_locations_flatted,generated_components_flatted,rouge_scores,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,IBMmetric_recall,IBMmetric_precision,IBMmetric_f1
0,Battery - Charger,"['Capacitors, Electrolytic', 'Capacitors, Oil Filled', 'Filter Choke', 'Float and Equalize Potentiometers and Switches', 'Fuse holder', 'Input Fuse', 'Metering Instruments (e.g. voltmeter, ammeter, status lights, ground detectors)', 'Muffin fans', 'Power Semiconductor Components', 'Printed Circuit Boards (Firing circuit, Alarm, Auxiliary circuits, Current limit)', 'Timer', 'Transformer']","The equipment Battery - Charger, is categorized as Electrical Asset and has the following boundary: The boundary of a typical battery charger for the purpose of this database is defined to include the following:  ,Battery Charger  Input breakers are excluded, because PM for these can be found by referring to Motor Control Centers.    Note, this program assumes that the battery charger is in nominally good condition to begin with.  Battery chargers that have not been serviced for a long time may need to have a detailed inspection performed before this program is applied.","['Battery management system (bm)', 'Battery temperature compensation circuitry', 'Battery voltage monitoring circuitry', 'Charge controller ic', 'Communication interface', 'Control electronic', 'Current sensor', 'Display panel', 'Emergency shutdown button', 'Fan', 'Fault indication circuitry', 'Filter capacitor', 'Ground fault detection circuitry', 'Heat sink', 'Housing', 'Indicator led', 'Input breaker', 'Input filtering circuitry', 'Input rectifier bridge', 'Isolation transformer', 'Load current monitoring circuitry', 'Output breaker', 'Output rectifier diode', 'Overvoltage protection circuitry', 'Power supply unit', 'Protection relay', 'Surge protection device', 'Temperature sensor', 'Timer circuitry', 'Transformer', 'Voltage sensor']",3.142869710922241,0.31818054580015054,"Capacitors, Electrolytic Capacitors, Oil Filled Filter Choke Float and Equalize Potentiometers and Switches Fuse holder Input Fuse Metering Instruments (e.g. voltmeter, ammeter, status lights, ground detectors) Muffin fans Power Semiconductor Components Printed Circuit Boards (Firing circuit, Alarm, Auxiliary circuits, Current limit) Timer Transformer",Battery management system (bm) Battery temperature compensation circuitry Battery voltage monitoring circuitry Charge controller ic Communication interface Control electronic Current sensor Display panel Emergency shutdown button Fan Fault indication circuitry Filter capacitor Ground fault detection circuitry Heat sink Housing Indicator led Input breaker Input filtering circuitry Input rectifier bridge Isolation transformer Load current monitoring circuitry Output breaker Output rectifier diode Overvoltage protection circuitry Power supply unit Protection relay Surge protection device Temperature sensor Timer circuitry Transformer Voltage sensor,"{'rouge1': Score(precision=0.11538461538461539, recall=0.20454545454545456, fmeasure=0.14754098360655737), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.13636363636363635, fmeasure=0.09836065573770493)}",0.14754098360655737,0.11538461538461539,0.20454545454545456,0.0,0.0,0.0,0.09836065573770493,0.07692307692307693,0.13636363636363635,0.16666666666666666,0.06451612903225806,0.09302325581395349
1,Bumper - Hydraulic,"['Bumper Head and Bracket', 'Dust Cover, if present', 'Hydraulic Cylinder', 'Hydraulic Cylinder - Seals', 'Metering Orifice', 'Metering Pin', 'Plunger', 'Plunger Sealing Ball', 'Safety Cables', 'Separator Piston']","The equipment Bumper - Hydraulic, is categorized as Material Handling Asset and has the following boundary: A Hydraulic Bumper in this database is comprised of:  - Cylinder - Seals - Plunger - Separator Piston - Metering Pin - Dust Cover, if present - Safety Cables","['Cylinder', 'Dust cover', 'Metering pin', 'Plunger', 'Safety cable', 'Seal', 'Separator piston']",1.5627415180206299,0.6399010895074965,"Bumper Head and Bracket Dust Cover, if present Hydraulic Cylinder Hydraulic Cylinder - Seals Metering Orifice Metering Pin Plunger Plunger Sealing Ball Safety Cables Separator Piston",Cylinder Dust cover Metering pin Plunger Safety cable Seal Separator piston,"{'rouge1': Score(precision=1.0, recall=0.44, fmeasure=0.6111111111111112), 'rouge2': Score(precision=0.5, recall=0.20833333333333334, fmeasure=0.29411764705882354), 'rougeL': Score(precision=0.8181818181818182, recall=0.36, fmeasure=0.5)}",0.6111111111111112,1.0,0.44,0.29411764705882354,0.5,0.20833333333333334,0.5,0.8181818181818182,0.36,0.6,0.8571428571428571,0.7058823529411764
2,Cable - Buried Power - Jacketed - EPR-DR,"['Cable - conductor', 'Cable - insulation', 'Cable - insulation shield', 'Cable - neutral (concentric or taped only)', 'Cable - outer jacket', 'Splices', 'Terminations']","The equipment Cable - Buried Power - Jacketed - EPR-DR, is categorized as Electrical Asset and has the following boundary: The boundary of jacketed direct buried distribution 5kV to 35kV power cables for the purpose of this database of the type Cable - Buried Power - Jacketed - EPR-DR (Ethylene Propylene Rubber - Discharge Resistant) is defined to include the following:  ,Cable itself, typically a 500 foot length ,Terminations and splices Lightning arrestors, transformers, ducts, man and hand holes, pull boxes, etc. were excluded.  Note also that quoted repair times refer to cases where digging is not required to access the cable.  The expert panel felt that about 4 hours should be added to all repair times when digging is necessary.","['Cable - insulation', 'Cable - neutral (concentric or taped only)', 'Cable - outer jacket (epr)', 'Handhole', 'Lightning arrestor', 'Manhole', 'Pull box', 'Splice', 'Termination']",2.506101369857788,0.3990261575319861,Cable - conductor Cable - insulation Cable - insulation shield Cable - neutral (concentric or taped only) Cable - outer jacket Splices Terminations,Cable - insulation Cable - neutral (concentric or taped only) Cable - outer jacket (epr) Handhole Lightning arrestor Manhole Pull box Splice Termination,"{'rouge1': Score(precision=0.65, recall=0.7222222222222222, fmeasure=0.6842105263157895), 'rouge2': Score(precision=0.5789473684210527, recall=0.6470588235294118, fmeasure=0.6111111111111113), 'rougeL': Score(precision=0.65, recall=0.7222222222222222, fmeasure=0.6842105263157895)}",0.6842105263157895,0.65,0.7222222222222222,0.6111111111111113,0.5789473684210527,0.6470588235294118,0.6842105263157895,0.65,0.7222222222222222,0.7142857142857143,0.5555555555555556,0.6250000000000001
3,Cable - Buried Power - Unjacketed - EPR-DF,"['Cable - conductor', 'Cable - insulation', 'Cable - insulation shield', 'Cable - neutral (concentric or taped only)', 'Splices', 'Terminations']","The equipment Cable - Buried Power - Unjacketed - EPR-DF, is categorized as Electrical Asset and has the following boundary: The boundary of unjacketed direct buried distribution 5kV to 35kV power cables for the purpose of this database of the type Cable - Buried Power - Unjacketed - EPR-DF (Ethylene Propylene Rubber - Discharge Free) is defined to include the following:  ,Cable itself, typically a 500 foot length ,Terminations and splices Lightning arrestors, transformers, ducts, man and hand holes, pull boxes, etc. were excluded.  Note also that quoted repair times refer to cases where digging is not required to access the cable.  The expert panel felt that about 4 hours should be added to all repair times when digging is necessary.","['Cable - insulation', 'Cable - neutral (concentric or taped only)', 'Duct', 'Handhole', 'Lightning arrestor', 'Manhole', 'Pull box', 'Splice', 'Termination', 'Transformer']",2.264643669128418,0.441570571844031,Cable - conductor Cable - insulation Cable - insulation shield Cable - neutral (concentric or taped only) Splices Terminations,Cable - insulation Cable - neutral (concentric or taped only) Duct Handhole Lightning arrestor Manhole Pull box Splice Termination Transformer,"{'rouge1': Score(precision=0.5555555555555556, recall=0.6666666666666666, fmeasure=0.606060606060606), 'rouge2': Score(precision=0.47058823529411764, recall=0.5714285714285714, fmeasure=0.5161290322580646), 'rougeL': Score(precision=0.5555555555555556, recall=0.6666666666666666, fmeasure=0.606060606060606)}",0.606060606060606,0.5555555555555556,0.6666666666666666,0.5161290322580646,0.47058823529411764,0.5714285714285714,0.606060606060606,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.4,0.5
4,"Cable - Plant - 5kV - Black EPR - Jacketed-Non-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice","['Cable - conductor', 'Cable - insulation', 'Cable - outer jacket', 'Terminations - outdoor']","The equipment Cable - Plant - 5kV - Black EPR - Jacketed-Non-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice, is categorized as Electrical Asset and has the following boundary: The boundary of Cable - Plant - 5kV - Black EPR - Jacketed-Non-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice includes:  NOTE: Black EPR and EPDM (ethylene propylene diene Monomer) are essentially equivalent in their electrical characteristics.  - Cable, non-shielded (wet or dry location), typically a 500 foot length. - Terminations (outdoor location only)  Excluded from this treatment are the following: splices, lightning arrestors, transformers, ducts, man and hand holes, pull boxes, etc.  Note: The Component Name of all plant cables and splices in this database shows the importance of moisture, which has already been built-in as follows.  'Wet/dry cable' (and splices, if present) identifies cables that are mostly dry but likely to be wet some part of the time.  'Wet cable' means the presence of water definitely predominates.  'Outdoor termination' means the presence of water has been built-in to some extent. 'Dry termination' means the termination is dry except for possibly rare and random exposure to water.  Thus the general rule for plant cables, terminations, and splices, is that turning on the moisture stressor has no additional effect.  The sole exception where the moisture stressor does act, is for the termination subcomponent, but only when the name includes 'outdoor/dry termination'.","['Cable - conductor', 'Cable - outer jacket', 'Termination - outdoor']",1.7957465648651123,0.5568714536703653,Cable - conductor Cable - insulation Cable - outer jacket Terminations - outdoor,Cable - conductor Cable - outer jacket Termination - outdoor,"{'rouge1': Score(precision=1.0, recall=0.7777777777777778, fmeasure=0.8750000000000001), 'rouge2': Score(precision=1.0, recall=0.75, fmeasure=0.8571428571428571), 'rougeL': Score(precision=1.0, recall=0.7777777777777778, fmeasure=0.8750000000000001)}",0.8750000000000001,1.0,0.7777777777777778,0.8571428571428571,1.0,0.75,0.8750000000000001,1.0,0.7777777777777778,0.75,1.0,0.8571428571428571
5,"Cable - Plant - 5kV - Brown EPR - Discharge Resistant - Jacketed-Non-Shielded - Duct/Conduit/Tray - wet/dry cable, dry termination, no splice","['Cable - conductor', 'Cable - insulation', 'Cable - outer jacket', 'Terminations - dry']","The equipment Cable - Plant - 5kV - Brown EPR - Discharge Resistant - Jacketed-Non-Shielded - Duct/Conduit/Tray - wet/dry cable, dry termination, no splice, is categorized as Electrical Asset and has the following boundary: The boundary of Cable - Plant - 5kV - Brown EPR - Discharge Resistant - Jacketed-Non-Shielded - Duct/Conduit/Tray - wet/dry cable, dry termination, no splice includes:  - Cable, non-shielded (wet or dry locations), typically a 500 foot length. - Terminations (dry location only)  Excluded from this treatment are the following: splices, lightning arrestors, transformers, ducts, man and hand holes, pull boxes, etc.  Note: The Component Name of all plant cables and splices in this database shows the importance of moisture, which has already been built-in as follows.  'Wet/dry cable' (and splices, if present) identifies cables that are mostly dry but likely to be wet some part of the time.  'Wet cable' means the presence of water definitely predominates.  'Outdoor termination' means the presence of water has been built-in to some extent. 'Dry termination' means the termination is dry except for possibly rare and random exposure to water.  Thus the general rule for plant cables, terminations, and splices, is that turning on the moisture stressor has no additional effect.  The sole exception where the moisture stressor does act, is for the termination subcomponent, but only when the name includes 'outdoor/dry termination'.","['Cable - conductor', 'Cable - outer jacket', 'Termination - dry']",1.3200089931488037,0.757570596253711,Cable - conductor Cable - insulation Cable - outer jacket Terminations - dry,Cable - conductor Cable - outer jacket Termination - dry,"{'rouge1': Score(precision=1.0, recall=0.7777777777777778, fmeasure=0.8750000000000001), 'rouge2': Score(precision=1.0, recall=0.75, fmeasure=0.8571428571428571), 'rougeL': Score(precision=1.0, recall=0.7777777777777778, fmeasure=0.8750000000000001)}",0.8750000000000001,1.0,0.7777777777777778,0.8571428571428571,1.0,0.75,0.8750000000000001,1.0,0.7777777777777778,0.75,1.0,0.8571428571428571
6,"Cable - Plant - 5-15kV - Butyl - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, dry termination, no splice","['Cable - conductor', 'Cable - insulation', 'Cable - insulation shield (cotton tape)', 'Cable - insulation shield (polymer tape)', 'Cable - neutral (concentric or taped only)', 'Cable - outer jacket', 'Terminations']","The equipment Cable - Plant - 5-15kV - Butyl - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, dry termination, no splice, is categorized as Electrical Asset and has the following boundary: The boundary of Cable - Plant - 5-15kV - Butyl - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, dry termination, no splice includes:   - Cable (wet or dry locations), typically a 500 foot length. - Terminations (dry location only)  Excluded from this treatment are the following: splices, lightning arrestors, transformers, ducts, man and hand holes, pull boxes, etc.  Note: The Component Name of all plant cables and splices in this database shows the importance of moisture, which has already been built-in as follows.  'Wet/dry cable' (and splices, if present) identifies cables that are mostly dry but likely to be wet some part of the time.  'Wet cable' means the presence of water definitely predominates.  'Outdoor termination' means the presence of water has been built-in to some extent. 'Dry termination' means the termination is dry except for possibly rare and random exposure to water.  Thus the general rule for plant cables, terminations, and splices, is that turning on the moisture stressor has no additional effect.  The sole exception where the moisture stressor does act, is for the termination subcomponent, but only when the name includes 'outdoor/dry termination'.","['Cable - conductor', 'Cable - insulation shield (cotton tape)', 'Cable - neutral (concentric or taped only)', 'Cable - outer jacket', 'Termination']",1.6496028900146484,0.6062065034276947,Cable - conductor Cable - insulation Cable - insulation shield (cotton tape) Cable - insulation shield (polymer tape) Cable - neutral (concentric or taped only) Cable - outer jacket Terminations,Cable - conductor Cable - insulation shield (cotton tape) Cable - neutral (concentric or taped only) Cable - outer jacket Termination,"{'rouge1': Score(precision=1.0, recall=0.7083333333333334, fmeasure=0.8292682926829268), 'rouge2': Score(precision=1.0, recall=0.6956521739130435, fmeasure=0.8205128205128205), 'rougeL': Score(precision=1.0, recall=0.7083333333333334, fmeasure=0.8292682926829268)}",0.8292682926829268,1.0,0.7083333333333334,0.8205128205128205,1.0,0.6956521739130435,0.8292682926829268,1.0,0.7083333333333334,0.7142857142857143,1.0,0.8333333333333333
7,"Cable - Plant - 5-15kV - TR-XLPE - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice","['Cable - conductor', 'Cable - insulation', 'Cable - insulation shield (extruded polymer)', 'Cable - outer jacket', 'Cable - taped metal shield', 'Terminations - outdoor']","The equipment Cable - Plant - 5-15kV - TR-XLPE - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice, is categorized as Electrical Asset and has the following boundary: The boundary of Cable - Plant - 5-15kV - TR-XLPE- Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice includes:  - Cable (wet or dry location), typically a 500 foot length. - Terminations (outdoor location only)  Excluded from this treatment are the following: splices, lightning arrestors, transformers, ducts, man and hand holes, pull boxes, etc.  Note: The Component Name of all plant cables and splices in this database shows the importance of moisture, which has already been built-in as follows.  'Wet/dry cable' (and splices, if present) identifies cables that are mostly dry but likely to be wet some part of the time.  'Wet cable' means the presence of water definitely predominates.  'Outdoor termination' means the presence of water has been built-in to some extent. 'Dry termination' means the termination is dry except for possibly rare and random exposure to water.  Thus the general rule for plant cables, terminations, and splices, is that turning on the moisture stressor has no additional effect.  The sole exception where the moisture stressor does act, is for the termination subcomponent, but only when the name includes 'outdoor/dry termination'.","['Cable - insulation', 'Cable - insulation shield (extruded polymer)', 'Cable - outer jacket', 'Cable - taped metal shield', 'Termination - outdoor']",1.8035781383514404,0.5544533828260135,Cable - conductor Cable - insulation Cable - insulation shield (extruded polymer) Cable - outer jacket Cable - taped metal shield Terminations - outdoor,Cable - insulation Cable - insulation shield (extruded polymer) Cable - outer jacket Cable - taped metal shield Termination - outdoor,"{'rouge1': Score(precision=1.0, recall=0.8888888888888888, fmeasure=0.9411764705882353), 'rouge2': Score(precision=1.0, recall=0.8823529411764706, fmeasure=0.9375), 'rougeL': Score(precision=1.0, recall=0.8888888888888888, fmeasure=0.9411764705882353)}",0.9411764705882353,1.0,0.8888888888888888,0.9375,1.0,0.8823529411764706,0.9411764705882353,1.0,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091
8,CNC Robotic Containerization System,"['Container storage stand', 'Control wiring with connectors', 'Docking Stations - Container present photo sensors', 'E-Stop switches and pull cord', 'External Corporate Information System - I/O 24 VDC Power Supplies', 'External Corporate Information System - I/O bridge assembly', 'Gantry robot 1 & 2 (axis 1-4 motor/gearbox, belts, counterbalance air tank & counterbalance cylinder, hard stops, lubricators, z axis arm)', 'Gripper Assembly  (fingers, regulators, sensors, air valves and solenoids, containment plate, pressure switch, shelf lowering mechanical)', 'Pneumatic Panel (lockout valves, regulator, filter)', 'Power Distribution Panel (transformer, 24 VDC power supply, relays, fuses, I/O module, main disconnect and etc)', 'Power wiring with connectors', 'Remote Conveyor Control Station', 'Robot 1 & 2 Main Conveyor  (powered roller, driver card, idler rollers, O-ring drive belts, photo eyes/reflectors, 24 VDC power supplies, tray/tub lift, stop plates, right angle cross transfer belts, valve block, Main Control Power 1/2)', 'Robot Interface box', 'Safety barrier light curtain', 'Safety frame (fence, 4 gate entry boxes)', 'Safety interlocks & Lexan door w/interlock', 'Scanners (interface and trigger photo eyes)', 'Serial measurement box (batteries, brake release)', 'System Console Cabinet (computer, UPS, hard drive module, monitor/keyboard, printer, External I/O interface cards, fans, filter)', 'Warning/status light and horn']","The equipment CNC Robotic Containerization System, is categorized as Material Handling Asset and has the following boundary: The boundary of a CNC Robotic Containerization System machine is described as:   The Robotic Containerization System  sorts a continuous flow of containers, boxes, etc. and places them using two computer driven gantry robots on pre-designated pallets or in bins for shipment.  Each robot has two work zones, there are a total of four for the two robots. Each work zone may have multiple docking stations configurable to hold two bins, one pallet, or a combination of a container and a pallet.  System consoles controls and monitors operations. Its control panel emergency stop pushbutton and switches control system start and stop.  The keyboard interfaces between the operator and the computer to do the following: - Cycle start system - Display system status and alarm conditions - Allow system components to be operated manually - Purge system and send robot arm to the home position - Display and print reports - Allow sort schemes to be created, edited, enabled or disabled - Assign containers and boxes to a sort position -Display  reject status at reject area of conveyor system  There is an incoming conveyor line with barcode scanners.  The barcode scanners read the destination and routing tag on the top of the container.  Containers with unreadable barcode labels are rejected onto the gravity conveyor and exit the system.  The robot uses a gripper to grip containers for stacking. The gripper has four air operated gripper fingers that rotate in and out to grab and release the containers.","['Robot work zone (4), docking station (multiple), gripper (with finger and rotation mechanism), keyboard, system console, barcode scanner (incoming conveyor line), reject area gravity conveyor, incoming conveyor line, emergency stop pushbutton, start/stop switch, control panel, maintainable component (a listed above).']",1.6430094242095947,0.6086392355789875,"Container storage stand Control wiring with connectors Docking Stations - Container present photo sensors E-Stop switches and pull cord External Corporate Information System - I/O 24 VDC Power Supplies External Corporate Information System - I/O bridge assembly Gantry robot 1 & 2 (axis 1-4 motor/gearbox, belts, counterbalance air tank & counterbalance cylinder, hard stops, lubricators, z axis arm) Gripper Assembly  (fingers, regulators, sensors, air valves and solenoids, containment plate, pressure switch, shelf lowering mechanical) Pneumatic Panel (lockout valves, regulator, filter) Power Distribution Panel (transformer, 24 VDC power supply, relays, fuses, I/O module, main disconnect and etc) Power wiring with connectors Remote Conveyor Control Station Robot 1 & 2 Main Conveyor  (powered roller, driver card, idler rollers, O-ring drive belts, photo eyes/reflectors, 24 VDC power supplies, tray/tub lift, stop plates, right angle cross transfer belts, valve block, Main Control Power 1/2) Robot Interface box Safety barrier light curtain Safety frame (fence, 4 gate entry boxes) Safety interlocks & Lexan door w/interlock Scanners (interface and trigger photo eyes) Serial measurement box (batteries, brake release) System Console Cabinet (computer, UPS, hard drive module, monitor/keyboard, printer, External I/O interface cards, fans, filter) Warning/status light and horn","Robot work zone (4), docking station (multiple), gripper (with finger and rotation mechanism), keyboard, system console, barcode scanner (incoming conveyor line), reject area gravity conveyor, incoming conveyor line, emergency stop pushbutton, start/stop switch, control panel, maintainable component (a listed above).","{'rouge1': Score(precision=0.4878048780487805, recall=0.10050251256281408, fmeasure=0.16666666666666666), 'rouge2': Score(precision=0.075, recall=0.015151515151515152, fmeasure=0.025210084033613446), 'rougeL': Score(precision=0.24390243902439024, recall=0.05025125628140704, fmeasure=0.08333333333333333)}",0.16666666666666666,0.4878048780487805,0.10050251256281408,0.025210084033613446,0.075,0.015151515151515152,0.08333333333333333,0.24390243902439024,0.05025125628140704,0.047619047619047616,1.0,0.0909090909090909
9,"Compressor & Pump - Rotary, Liquid Ring","['Air Filters, Element Type', 'Bearing housing seals, if present', 'Bearings or Bushings', 'Check Valves', 'Dole Flow Control Valve, if present', 'Electronic/ Electrical Devices (Transmitters, Temperature control valves, Level / Flow / Pressure switches, Thermocouples', 'Fasteners / Hardware', 'Float Valve', 'Gaskets', 'Lubrication', 'Mechanical shaft seal', 'Moisture Separator Tank', 'Orifice', 'Packing shaft seal', 'Pressure Control Valve', 'Pump Internal Casing, including inlet and outlet flanges', 'Rotor, Cone, and Lobe', 'Seal Water Heat Exchanger', 'Seal Water Recirculation Pump & Motor', 'Solenoids', 'Speed Reducer', 'Strainer', 'Traps']","The equipment Compressor & Pump - Rotary, Liquid Ring, is categorized as Rotating Asset and has the following boundary: The boundary of liquid-ring compressors and pumps for the purpose of this database is defined to include the following:  ,Pump or compressor ,Cooler ,Moisture separator tank and recirculation pump ,Speed reducer ,Control components except for relays ,Miscellaneous components, e.g. filters, traps, strainers, orifices, and check valves  Coupling, Relays, and Safety Relief Valves are excluded from the boundary.  Although other electrical and electronic components are treated to some degree in the compressor degradation table, further details and information on appropriate PM tasks for these components may be found in the database under the specific component type name, e.g. I&C - Pressure Switches.  Because there exist several types of such I&C components they have not been assigned a ""Refer - to"" type of PM Task reference in the compressor template.","['Balance piston', 'Bearing', 'Bearing housing seal', 'Bull gear', 'Check valve', 'Coupling', 'Fastener/ hardware', 'Gasket', 'Gasket, o-ring & packing', 'Inlet air filter, element type', 'Inlet throttle valve', 'Inter & after cooler, tube sheet & baffle', 'Lp & hp element', 'Lubrication', 'Mechanical shaft seal, if present', 'Oil filter', 'Oil line', 'Oil pump', 'Oil suction screen', 'Orifice', 'Pressure switch', 'Pump internal casing, including inlet and outlet flange', 'Rotor, cone, and lobe', 'Seal water tank', 'Shaft seal', 'Sight glas', 'Solenoid valve', 'Strainer, if present', 'Trap', 'Unloader']",3.651698112487793,0.2738452000126401,"Air Filters, Element Type Bearing housing seals, if present Bearings or Bushings Check Valves Dole Flow Control Valve, if present Electronic/ Electrical Devices (Transmitters, Temperature control valves, Level / Flow / Pressure switches, Thermocouples Fasteners / Hardware Float Valve Gaskets Lubrication Mechanical shaft seal Moisture Separator Tank Orifice Packing shaft seal Pressure Control Valve Pump Internal Casing, including inlet and outlet flanges Rotor, Cone, and Lobe Seal Water Heat Exchanger Seal Water Recirculation Pump & Motor Solenoids Speed Reducer Strainer Traps","Balance piston Bearing Bearing housing seal Bull gear Check valve Coupling Fastener/ hardware Gasket Gasket, o-ring & packing Inlet air filter, element type Inlet throttle valve Inter & after cooler, tube sheet & baffle Lp & hp element Lubrication Mechanical shaft seal, if present Oil filter Oil line Oil pump Oil suction screen Orifice Pressure switch Pump internal casing, including inlet and outlet flange Rotor, cone, and lobe Seal water tank Shaft seal Sight glas Solenoid valve Strainer, if present Trap Unloader","{'rouge1': Score(precision=0.6075949367088608, recall=0.6233766233766234, fmeasure=0.6153846153846154), 'rouge2': Score(precision=0.358974358974359, recall=0.3684210526315789, fmeasure=0.36363636363636365), 'rougeL': Score(precision=0.4050632911392405, recall=0.4155844155844156, fmeasure=0.41025641025641024)}",0.6153846153846154,0.6075949367088608,0.6233766233766234,0.36363636363636365,0.358974358974359,0.3684210526315789,0.41025641025641024,0.4050632911392405,0.4155844155844156,0.5652173913043478,0.43333333333333335,0.49056603773584906
