TypeData.CompTypeID,TypeData.GenCompType,failure_locations
Accumulator_1_V0,Accumulator - Hydraulic - Bladder Type,"['Gas Fill Valve', 'Bladder', 'Oil Valve']"
Accumulator_2_V0,Accumulator - Pneumatic - Bladder Type,"['Gas Fill Valve', 'Air line Check Valve, if present', 'Bladder']"
ACPack_1_V0,Packaged Air Conditioning Unit,"['Condenser Coil', 'Switches', 'Wiring and connections', 'Air Filter', 'Compressor - Tubing, Fittings', 'Compressor', 'Damper Bearings and Linkages, if present', 'Fan - Motor', 'Fan', 'Fan Bearings', 'Solenoid Valves, if present', 'Electric Heating Coils', 'Damper Actuator, if present', 'Compressor - Motor', 'Controllers, Sensors, and Transmitters']"
AirEjector_SJ_1,Steam Jet Air Ejector,"['Condenser - Tube Sheets', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Tubes', 'Condenser - Tube Joint: Rolled', 'Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Ejector - Throat and Diffuser', 'Ejector - Steam Nozzle', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange']"
Ammonia_Vapor_1_V0,Ammonia Vaporization System,"['Blower', 'Pressure Sensor', 'Valve - Spring Reliefs', 'Valve - Manual  Block', 'Pressure Gauge', 'Piping', 'Level Indicator', 'Level Transmitter', 'Blower Sheaves and Belts, if present', 'Vaporizer vessel', 'Blower Motor', 'Blower Intake Filter', 'Electric Heating Element, if present', 'Heater tubes, if present', 'Heater Shell, if present', 'Thermocouple', 'Pressure Transmitter']"
Autoclave_DoubleDoor_Sliding_V0,Autoclave - Sliding Double Door,"['Strainer', 'Separator', 'Flex Hoses, Flex Lines, and Fittings', 'Heat Exchanger - Sample Cooler', 'Tri-Clamp Isolation Devices', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Silencer(s)', 'Tank', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'Valve - Check (Swing Type)', 'Valve - Pressure Control Valve (Diaphragm Manual)', 'Valve - Diaphragm (Air Operated)', 'E-Stops and Interlocks', 'Heat Exchanger (Plate Type)', 'Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Ground or Earth Connection', 'Pipe and Fittings', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Valve - Ball (Manual)', 'Valve - Piston Operated (Air)', 'Flow Restrictor', 'Valve - SOV Operated', 'Pump Motor (Pump Vertical - Multistage)', 'Valve - Ball (Air Operated)', 'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Pump - Vacuum (Liquid Ring)', 'Pipe Insulation', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)', 'Valve - Pressure Relief', 'Pipe - Instrument Penetrations, and Thermowells', 'Pump (Vertical - Multistage)', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Fasteners and Hardware']"
Axle_1_V0,Axle_1,"['Mounting brackets, if present', 'Shaft', 'Wheel Flange', 'Fasteners, bolting', 'Key, if present', 'Axle Housing']"
BATT_CHGR_1,Battery - Charger,"['Capacitors, Oil Filled', 'Filter Choke', 'Capacitors, Electrolytic', 'Muffin fans', 'Power Semiconductor Components', 'Timer', 'Float and Equalize Potentiometers and Switches', 'Fuse holder', 'Printed Circuit Boards (Firing circuit, Alarm, Auxiliary circuits, Current limit)', 'Input Fuse', 'Transformer', 'Metering Instruments (e.g. voltmeter, ammeter, status lights, ground detectors)']"
BATT_INV_1,Battery - Inverter,"['Metering Instruments (e.g. voltmeter, frequency meter, status lights)', 'Capacitors, Commutation and Other Filled', 'Capacitors, Electrolytic', 'Maintenance Bypass Switch', 'Muffin fans', 'Power Semiconductor Components', 'Printed Circuit Boards (Firing circuit, Oscillator, Alarm, Sync, Metering circuits)', 'Fuse holder', 'Input Fuse', 'Transformer', 'Input / Output Filter Choke and Commutating Chokes', 'Static Switch']"
BATT_LA_1,Battery - Flooded Lead Acid - Lead Calcium/Antimony,"['Vent or Flame Arrestor', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Jar', 'Plates', 'Separators & Retainers', 'Posts and Straps', 'Jar and Lid', 'Electrolyte', 'Posts', 'Rack', 'Lid']"
BATT_NICAD_1,Battery - NICAD,"['Vent or Flame Arrestor', 'Plates', 'Posts', 'Electrolyte', 'Inter Cell and Inter Tier Connectors and Hardware and Battery Cable Connectors', 'Jar & Lid', 'Rack']"
BATT_Plante,Battery - Flooded Lead Acid - Plante,"['Vent or Flame Arrestor', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Jar', 'Plates', 'Separators & Retainers', 'Posts and Straps', 'Jar and Lid', 'Electrolyte', 'Posts', 'Rack', 'Lid']"
BATT_VRLA,Battery - Valve Regulated Lead Acid,"['Cabinet or Rack', 'Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Plates', 'Pressure Relief Valve', 'Posts and Straps', 'Electrolyte', 'Jar & Lid', 'Posts']"
BATT_VRLA_NonGel_V0,Battery - VRLA - Non-Gel Type,"['Battery - Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Battery - Posts', 'Battery - Cabinet or Rack', 'Battery - Case', 'Battery - Plates', 'Battery - Group Bar (Collector)', 'Connections to Battery Charger and Primary Distribution', 'Battery - Pressure Relief Valve']"
